mc_id,medicao_id,frente_id,tipo,descricao,comprimento,ast,resultado
mc_26088dcec3,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 33 - 104404.0 - Condulete De Pvc, Tipo T, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,58.48,0.0
mc_e91993914f,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 34 - 104405.0 - Condulete De Pvc, Tipo T, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,79.16,0.0
mc_a209c74f25,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 35 - 95813.0 - Condulete De Pvc, Tipo Tb, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,34.91,0.0
mc_d8c31152d3,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 36 - 95814.0 - Condulete De Pvc, Tipo Tb, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,43.23,0.0
mc_8c0d55194d,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 37 - 95815.0 - Condulete De Pvc, Tipo Tb, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,63.09,0.0
mc_bb48ee9ae1,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 38 - 95816.0 - Condulete De Pvc, Tipo X, Para Eletroduto De Pvc Soldável Dn 20 Mm (1/2''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,56.21,0.0
mc_744f9fa9d4,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 39 - 95817.0 - Condulete De Pvc, Tipo X, Para Eletroduto De Pvc Soldável Dn 25 Mm (3/4""), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,65.62,0.0
mc_d45f91c8d6,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 40 - 95818.0 - Condulete De Pvc, Tipo X, Para Eletroduto De Pvc Soldável Dn 32 Mm (1''), Aparente - Fornecimento E Instalação. Af_10/2022",0.0,91.29,0.0
mc_eaf8c98df7,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 41 - 101884.0 - Cabo De Cobre Isolado, 10 Mm², Anti-Chama 450/750 V, Instalado Em Eletrocalha Ou Perfilado - Fornecimento E Instalação. Af_07/2025",0.0,13.91,0.0
mc_c0f17176fc,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 42 - 101886.0 - Cabo De Cobre Isolado, 16 Mm², Anti-Chama 450/750 V, Instalado Em Eletrocalha Ou Perfilado - Fornecimento E Instalação. Af_07/2025",0.0,19.97,0.0
